"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"BPI"	0	-0.0930117501546073	0.0800875645998457	-0.105263157894737	-1.16137568446908	0.541666666666667	0.271845605266665	0.811487728066669
"BTN3A2"	0	0.0399505256648114	0.0843204759008774	0.0451127819548872	0.473793882659949	0.533333333333333	0.278880049909218	0.787786616757449
"C11orf63"	0	-0.241682127396413	0.0785593109060301	-0.249624060150376	-3.07642881039912	0.5	0.23626967140055	0.76373032859945
"C13orf18"	0	-0.0322820037105751	0.0804414732694956	-0.00451127819548872	-0.401310448435271	0.508333333333333	0.23124007620508	0.785426590461587
"C15orf38"	0	0.151144094001237	0.0730640670116612	0.156390977443609	2.06865152985686	0.658333333333333	0.408615422857609	0.908051243809058
"C15orf51"	0	-0.0406926406926407	0.0721027117269323	-0.0451127819548872	-0.564370461498758	0.55	0.292870959532835	0.807129040467165
"C15orf57"	100	0.539022881880025	0.0416851003625006	0.536842105263158	12.9308284541141	0.833333333333333	0.632341211745425	1
"C17orf48"	0	-0.357204700061843	0.0601087923690811	-0.342857142857143	-5.94263644274415	0.441666666666667	0.172725872067503	0.71060746126583
"C17orf57"	0	-0.20717377860235	0.072614530538099	-0.201503759398496	-2.85306228749425	0.416666666666667	0.157533342228756	0.675799991104577
"C17orf97"	0.865800865800866	0.242053184910328	0.0658546987516344	0.23609022556391	3.67556437883364	0.666666666666667	0.427385632786253	0.905947700547081
"C1orf150"	0	-0.227581941867656	0.0694168265009166	-0.221052631578947	-3.27848381061688	0.55	0.290492595662483	0.809507404337517
"C1orf186"	0	0.118119975262832	0.0641515858793529	0.112781954887218	1.84126352675015	0.691666666666667	0.432606142714653	0.95072719061868
"C1orf21"	0	-0.346938775510204	0.0586974861615402	-0.345864661654135	-5.91062408627519	0.375	0.128059954033122	0.621940045966879
"C1orf38"	0	-0.116141001855288	0.0693382745159452	-0.109774436090226	-1.67499123198659	0.541666666666667	0.287775266478165	0.795558066855168
"C1orf57"	0	-0.120098948670377	0.0643897397325604	-0.124812030075188	-1.86518767072522	0.658333333333333	0.406295413085456	0.910371253581211
"C1orf85"	0	-0.168583797155226	0.0620349028303396	-0.172932330827068	-2.71756365309846	0.558333333333333	0.301193813415531	0.815472853251136
"C21orf81"	0	0.00667903525046382	0.0813493143383359	-0.0075187969924812	0.082103153601091	0.4	0.146905849158472	0.653094150841528
"C22orf32"	0	-0.369078540507112	0.0601929270731981	-0.374436090225564	-6.13159316971396	0.416666666666667	0.159181564147451	0.674151769185882
"C2orf63"	71.8614718614719	0.450587507730365	0.0612545898605766	0.457142857142857	7.35597950710241	0.658333333333333	0.415508692786502	0.901157973880165
"C2orf89"	0	0.0510822510822511	0.0704280008971757	0.0676691729323308	0.725311671941829	0.375	0.106540567489314	0.643459432510686
"C3AR1"	0	0.136672850958565	0.081218205544035	0.126315789473684	1.68278589810093	0.658333333333333	0.417201336796697	0.899465329869969
"C3orf14"	0	-0.169449598021027	0.0875771221380771	-0.157894736842105	-1.93486145564211	0.525	0.266168410879887	0.783831589120113
"C3orf57"	6.06060606060606	0.297835497835498	0.0737749640603129	0.300751879699248	4.03708089362144	0.633333333333333	0.359655010844419	0.907011655822248
"C3orf59"	11.2554112554113	0.322572665429808	0.0743521852647882	0.309774436090226	4.33844229703592	0.525	0.255258844150399	0.794741155849601
"C5orf35"	0	-0.321954236239951	0.0643791933048622	-0.333834586466165	-5.00090510167413	0.516666666666667	0.250050399741298	0.783282933592035
"C6orf105"	0	-0.179344465058751	0.0743516013828605	-0.18796992481203	-2.4121130106566	0.475	0.213455021939553	0.736544978060447
"C6orf191"	0	-0.0572665429808287	0.0653118467460324	-0.0586466165413534	-0.876817083484284	0.366666666666667	0.117240274701927	0.616093058631406
"C7orf58"	0	0.132962275819419	0.0793501311626459	0.138345864661654	1.67564027773165	0.558333333333333	0.301047145924328	0.815619520742338
"C9orf174"	0.432900432900433	0.118367346938776	0.0853780701910159	0.114285714285714	1.38639051777527	0.391666666666667	0.143920443790081	0.639412889543252
"C9orf95"	0	0.0904143475572047	0.0830845991987503	0.0691729323308271	1.08822030110443	0.525	0.26698172570343	0.78301827429657
